,status,totalResults,articles
0,ok,36,"{'source': {'id': None, 'name': 'Fark.com'}, 'author': None, 'title': 'Heavily polluted Lake Okeechobee water now being released along both coasts of state. So skip eating oysters for a while [Florida]', 'description': 'Heavily polluted Lake Okeechobee water now being released along both coasts of state. So skip eating oysters for a while', 'url': 'https://www.fark.com/comments/13200136/Heavily-polluted-Lake-Okeechobee-water-now-being-released-along-both-coasts-of-state-So-skip-eating-oysters-for-a-while', 'urlToImage': 'https://usrimg-full.fark.net/N/N1/fark_N1uCas8MxLv6Y9UMj1DLLjElXN4.jpg?AWSAccessKeyId=JO3ELGV4BGLFW7Y3EZXN&Expires=1711944000&Signature=RZ1htkU2uEGHi1x64vEqlL7Nw9A%3D', 'publishedAt': '2024-03-27T01:25:11Z', 'content': ""RM-SP:Article makes no mention of pollution.\r\nPeople are worried about red algae blooms which research says water release from the overflowing lake isn't to blame.\r\n/ Weeners every// click bait, what… [+250 chars]""}"
1,ok,36,"{'source': {'id': None, 'name': 'Phys.Org'}, 'author': 'Science X', 'title': ""UK's summer 2022 drought provides warning for future years, say scientists"", 'description': ""The UK will be increasingly tested by more droughts like 2022, emphasizing the importance of being prepared for similar extreme weather in future, say scientists who have analyzed that summer's events."", 'url': 'https://phys.org/news/2024-03-uk-summer-drought-future-years.html', 'urlToImage': 'https://scx2.b-cdn.net/gfx/news/hires/2024/uks-summer-2022-drough.jpg', 'publishedAt': '2024-03-28T17:43:11Z', 'content': ""This article has been reviewed according to Science\xa0X's \r\neditorial process\r\nand policies.\r\nEditors have highlighted\r\nthe following attributes while ensuring the content's credibility:\r\nfact-checked\r… [+3785 chars]""}"
2,ok,36,"{'source': {'id': None, 'name': 'Phys.Org'}, 'author': 'Science X', 'title': 'New approach to monitoring freshwater quality can identify sources of pollution, predict their effects', 'description': 'The source of pollutants in rivers and freshwater lakes can now be identified using a comprehensive new water quality analysis, according to scientists at the University of Cambridge and Trent University, Canada.', 'url': 'https://phys.org/news/2024-03-approach-freshwater-quality-sources-pollution.html', 'urlToImage': 'https://scx2.b-cdn.net/gfx/news/hires/2024/new-approach-to-monito-1.jpg', 'publishedAt': '2024-03-28T18:00:01Z', 'content': ""This article has been reviewed according to Science\xa0X's \r\neditorial process\r\nand policies.\r\nEditors have highlighted\r\nthe following attributes while ensuring the content's credibility:\r\nfact-checked\r… [+3700 chars]""}"
3,ok,36,"{'source': {'id': None, 'name': 'Live Science'}, 'author': 'elise.poore@futurenet.com (Elise Poore)', 'title': 'Smalltooth sawfish in Florida are spinning and beaching themselves in strange, mystery die-off', 'description': ""Erratically thrashing and whirling smalltooth sawfish are stranding on beaches — and scientists don't know why they're behaving this way."", 'url': 'https://www.livescience.com/animals/fish/smalltooth-sawfish-in-florida-are-spinning-and-beaching-themselves-in-strange-mystery-die-off', 'urlToImage': 'https://cdn.mos.cms.futurecdn.net/sf469CRVg3zsMKEB9z8u45-1200-80.jpg', 'publishedAt': '2024-04-10T17:44:14Z', 'content': 'Endangered smalltooth sawfish in Florida are erratically ""spinning and whirling"" in shallow waters, causing them to strand themselves and die. The ""abnormal fish behavior event"" currently defies expl… [+3520 chars]'}"
4,ok,36,"{'source': {'id': None, 'name': 'Phys.Org'}, 'author': 'Hannah Bird', 'title': 'Carbon trading solutions for declining coral reef management tested with game theory', 'description': 'Climate change in the media is often represented through evocative images of polar bears on small floating ice rafts and bleached corals—stark white skeletons in the wasteland of a once-thriving marine community. Besides being diverse ecosystems, coral reefs …', 'url': 'https://phys.org/news/2024-04-carbon-solutions-declining-coral-reef.html', 'urlToImage': 'https://scx2.b-cdn.net/gfx/news/hires/2024/carbon-trading-solutio.jpg', 'publishedAt': '2024-04-08T12:50:01Z', 'content': ""This article has been reviewed according to Science\xa0X's \r\neditorial process\r\nand policies.\r\nEditors have highlighted\r\nthe following attributes while ensuring the content's credibility:\r\nfact-checked\r… [+4828 chars]""}"
5,ok,36,"{'source': {'id': None, 'name': 'Phys.Org'}, 'author': 'Erica McNamee', 'title': ""NASA's PACE data on ocean, atmosphere, climate now available"", 'description': 'NASA is now publicly distributing science-quality data from its newest Earth-observing satellite, providing first-of-their-kind measurements of ocean health, air quality, and the effects of a changing climate.', 'url': 'https://phys.org/news/2024-04-nasa-pace-ocean-atmosphere-climate.html', 'urlToImage': 'https://scx2.b-cdn.net/gfx/news/hires/2024/nasas-pace-data-on-oce.jpg', 'publishedAt': '2024-04-11T20:15:04Z', 'content': ""This article has been reviewed according to Science\xa0X's \r\neditorial process\r\nand policies.\r\nEditors have highlighted\r\nthe following attributes while ensuring the content's credibility:\r\nfact-checked\r… [+5275 chars]""}"
6,ok,36,"{'source': {'id': None, 'name': 'Space Daily'}, 'author': None, 'title': ""Early Adopters of NASA's PACE Data to Study Air Quality, Ocean Health"", 'description': ""Greenbelt MD (SPX) Mar 26, 2024\n\n\nFrom the atmosphere down to the surface of the ocean, data from NASA's PACE (Plankton, Aerosol, Cloud, ocean Ecosystem) satellite benefits ecosystems, human health, and underrepresented communities. \n\nYears before the launch …"", 'url': 'https://www.spacedaily.com/reports/Early_Adopters_of_NASAs_PACE_Data_to_Study_Air_Quality_Ocean_Health_999.html', 'urlToImage': 'https://www.spxdaily.com/images-hg/pace-logo-patch-hg.jpg', 'publishedAt': '2024-03-26T12:06:42Z', 'content': ""Early Adopters of NASA's PACE Data to Study Air Quality, Ocean Healthby Erica McNamee for GSFC NewsGreenbelt MD (SPX) Mar 26, 2024\r\nFrom the atmosphere down to the surface of the ocean, data from NAS… [+6155 chars]""}"
7,ok,36,"{'source': {'id': None, 'name': 'NASA'}, 'author': 'Erica McNamee', 'title': 'NASA’s PACE Data on Ocean, Atmosphere, Climate Now Available', 'description': 'NASA is now publicly distributing science-quality data from its newest Earth-observing satellite, providing first-of-their-kind measurements of\xa0ocean health, air quality,\xa0and the effects of a changing climate. The Plankton, Aerosol, Cloud, ocean Ecosystem (PA…', 'url': 'https://www.nasa.gov/earth/nasas-pace-data-on-ocean-atmosphere-climate-now-available/', 'urlToImage': 'https://www.nasa.gov/wp-content/uploads/2024/04/oci-ocean-panels-pace-oci-20240309t115927.png', 'publishedAt': '2024-04-11T19:00:00Z', 'content': 'NASA is now publicly distributing science-quality data from its newest Earth-observing satellite, providing first-of-their-kind measurements of\xa0ocean health, air quality,\xa0and the effects of a changin… [+4314 chars]'}"
8,ok,36,"{'source': {'id': 'cbs-news', 'name': 'CBS News'}, 'author': 'Cara Tabachnick', 'title': 'DOJ, environmental groups sue Campbell Soup for polluting Lake Erie', 'description': ""The U.S. Department of Justice and environmental groups filed two lawsuits alleging similar complaints that Campell's plant in Napoleon, Ohio, has allowed wastewater and pollutants to flow unchecked into the Maumee River"", 'url': 'https://www.cbsnews.com/news/campbell-soup-lake-erie-doj-environmental-groups-lawsuit-pollution/', 'urlToImage': 'https://assets2.cbsnewsstatic.com/hub/i/r/2024/03/21/62611cf2-19ce-4bb9-8fe8-3f776ebb0783/thumbnail/1200x630/d73ba7e347f72c253dd583168bcbbda4/gettyimages-909708434.jpg?v=4baa656f7af774a52a8c6a88476cb826', 'publishedAt': '2024-03-21T20:07:38Z', 'content': 'The U.S. Department of Justice and environmental groups filed two lawsuits against Campbell accusing the soup giant of polluting Lake Erie.\r\nBoth lawsuits were filed in the U.S. District Court in the… [+3102 chars]'}"
9,ok,36,"{'source': {'id': None, 'name': '[Removed]'}, 'author': None, 'title': '[Removed]', 'description': '[Removed]', 'url': 'https://removed.com', 'urlToImage': None, 'publishedAt': '1970-01-01T00:00:00Z', 'content': '[Removed]'}"
